-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 06/01/2024 through 06/30/2024 in LST
Location: latitude  -2.17   longitude -79.9 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 64.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (C) 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,DOY,T2M,RH2M
2024,153,29.46,58.58
2024,154,28.67,59.19
2024,155,28.22,57.28
2024,156,28.08,56.05
2024,157,27.17,59.22
2024,158,27.9,56.87
2024,159,29.12,54.9
2024,160,28.79,56.59
2024,161,27.54,60.13
2024,162,27.25,59.38
2024,163,28.15,55.88
2024,164,28.27,57.15
2024,165,27.58,60.19
2024,166,27.41,60.86
2024,167,27.55,61.62
2024,168,28.48,60.6
2024,169,29.02,60.97
2024,170,27.55,61.16
2024,171,27.78,59.69
2024,172,27.68,60.46
2024,173,28.82,59.32
2024,174,29.06,57.97
2024,175,29.44,56.21
2024,176,28.98,59.73
2024,177,26.39,67.96
2024,178,26.58,64.9
2024,179,26.67,64.98
2024,180,27.5,61.01
2024,181,28.08,61.57
2024,182,27.22,65.84
